id,title,price,img_src,provider,link,feature,color
1,편안하고 부담없는 빅사이즈 레깅스(~XL),58000,https://shopping-phinf.pstatic.net/main_2224566/22245660640.jpg,뮬라웨어,http://www.mulawear.com/shop/shopdetail.html?branduid=497433&ref=naver_open&n_media=11068&n_query=%EB%B9%85%EC%82%AC%EC%9D%B4%EC%A6%88%EB%A0%88%EA%B9%85%EC%8A%A4&n_rank=1&n_ad_group=grp-a001-02-000000014926029&n_ad=nad-a001-02-000000090775820&n_campaign_type=2&n_mall_pid=497433&NaPm=ct%3Dkb3kp5i8%7Cci%3D0yy0001iuHHsRW0CR1pz%7Ctr%3Dpla%7Chk%3D7a7e040ebc650f08c062056a0aa3ce0a05fbc135,bigsize,black
2,온드레 빅사이즈 여름 쿨레깅스,9500,https://shopping-phinf.pstatic.net/main_1803971/18039719096.jpg,쿠팡,https://www.coupang.com/vp/products/71936248?itemId=239832484&vendorItemId=3590647956&src=1032001&spec=10305201&addtag=400&ctag=71936248&lptag=P71936248&itime=20200606205007&pageType=PRODUCT&pageValue=71936248&wPcid=15839186539179380259152&wRef=cr.shopping.naver.com&wTime=20200606205007&redirect=landing&isAddedCart=,bigsize,black
3,여름 부츠컷 나팔 바지 레깅스 ( 55-100 빅사이즈),11900,https://shopping-phinf.pstatic.net/main_8202715/82027156632.1.jpg,러블리한,https://smartstore.naver.com/lovely-han/products/4482633728?NaPm=ct%3Dkb3kssog%7Cci%3Df4e1c2b6d8db09b13f0f5b4f1f39e415f23e82ae%7Ctr%3Dslsl%7Csn%3D797700%7Chk%3D9bc56b8f9e7bdec2180e82f6cbdda175407c7991,bigsize,black
4,5부레깅스 여름레깅스 여자 빅사이즈 레깅스 쫄바지 77 88 면스판 기본,4700,https://shopping-phinf.pstatic.net/main_9834712/9834712320.1.jpg,올리브아웃도어,https://smartstore.naver.com/oliveoutdoor/products/406011804?NaPm=ct%3Dkb3kyjgw%7Cci%3Daa59ff06bc1d4491a8729f115789060d3736a727%7Ctr%3Dslsl%7Csn%3D169396%7Chk%3D211c7038b080feed75267640c1c9eea3ed2f5e64,bigsize,black
5,[퍼스트클로] (1+1) 여성용 빅사이즈 레깅스 면스판 코튼 쫄바지 4XL,11610,https://shopping-phinf.pstatic.net/main_2234650/22346505605.jpg,위메프,https://front.wemakeprice.com/product/360236831?utm_source=naver_ep&utm_medium=PRICE_af&utm_campaign=null&NaPm=ct%3Dkb3ky6co%7Cci%3Ded03354812fdb0dcfce86ecb84e73077533332e2%7Ctr%3Dslsl%7Csn%3D197023%7Chk%3D4d37300df0277b762b918179cc4e40778c16c7c9,bigsize,black
6,룰루레몬 얼라인 요가복 요가바지 레깅스 빅사이즈 보유,79900,https://shopping-phinf.pstatic.net/main_8230556/82305566680.jpg,로치,https://smartstore.naver.com/marveldisney/products/4761044778?NaPm=ct%3Dkb3kti54%7Cci%3D6a856c21897ff7c7645f62fddd2c9d6da3fb8dcc%7Ctr%3Dslsl%7Csn%3D250219%7Chk%3Dca1dd6bad98282b92585386ffa566d67edcb22e9,bigsize,black
7,여자 빅사이즈 레깅스 타이즈 팬츠 쫄바지 스타킹,10790,https://shopping-phinf.pstatic.net/main_2305210/23052109740.jpg,롯데ON,https://www.lotteon.com/p/product/LO1061007248?sitmNo=LO1061007248_1061007249&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&NaPm=ct%3Dkb3kuviw%7Cci%3D6ba4c001e2caf2bd671183eb9ce288e4a996027d%7Ctr%3Dslsl%7Csn%3D1243359%7Chk%3Dc4d804ff7c2947d3d52cc184cb459e73516107cf,bigsize,black
8,나이키 런 여자 빅사이즈 레깅스 팬츠 블랙 리플렉티브실버,49100,https://shopping-phinf.pstatic.net/main_2298853/22988534864.1.jpg,머스트잇,https://mustit.co.kr/product/product_detail/11459088?NaPm=ct%3Dkb3kz9pc%7Cci%3Ddd9684ac2e7958b203296af403331f8430cfe70a%7Ctr%3Dslsl%7Csn%3D182084%7Chk%3Dc5d7c6732af3a7293cb0a9bde4b309e8577003ce&utm_source=naver&utm_medium=cps&utm_campaign=naver.shopping&utm_term=%ED%94%BC%EB%93%9C&inflow=mustit_partner_77,bigsize,black
9,여성 면 밴딩 빅사이즈 레깅스  55~110,9900,https://shopping-phinf.pstatic.net/main_2209754/22097541343.jpg,달콤라라,http://dalcomlala.com/product/detail.html?product_no=1110&cate_no=61&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open&NaPm=ct%3Dkb3kzla0%7Cci%3D9730b6ba6dbe8065e454d376622b9c89de45c4a4%7Ctr%3Dslsl%7Csn%3D152842%7Chk%3Da974e2239a2df542118be03549c4a88f36c0655c,bigsize,black
10,센스빅 4부 치마 빅사이즈 레깅스,8900,https://shopping-phinf.pstatic.net/main_1634189/16341896526.jpg,쿠팡,https://www.coupang.com/vp/products/7320492?itemId=32312527&vendorItemId=70740364802&src=1032001&spec=10305201&addtag=400&ctag=7320492&lptag=P7320492&itime=20200606205259&pageType=PRODUCT&pageValue=7320492&wPcid=15839186539179380259152&wRef=cr.shopping.naver.com&wTime=20200606205259&redirect=landing&isAddedCart=,bigsize,black
