id,title,price,img_src,provider,link,feature,color
1,빅사이즈여성 자체제작 봄가을용 코코레깅스1탄,5400,https://shopping-phinf.pstatic.net/main_1166905/11669054965.2.jpg,코코세븐7,https://smartstore.naver.com/realbig7/products/2013736137?NaPm=ct%3Dkb3l4wmw%7Cci%3D84a2685cb5e23c5c22ab70fe1ab37368276190f6%7Ctr%3Dslsl%7Csn%3D230424%7Chk%3D0d5c5fd7fac68fddb1ef9bfd6b99a439748cc56e,bigsize,blue
2,[바보사랑]빅사이즈 고탄력 쿨 9부 레깅스 RD420-네오쿠비카,20750,https://shopping-phinf.pstatic.net/main_2306252/23062525425.jpg,GSSHOP,http://with.gsshop.com/prd/prd.gs?prdid=59721757&vodFlag=N&utm_source=price&utm_medium=affiliate&utm_campaign=naver,bigsize,blue
3,UV차단 레깅스 55-100 빅사이즈 자외선차단 발목레깅스,9800,https://shopping-phinf.pstatic.net/main_8240234/82402348561.jpg,플러스사이즈,https://smartstore.naver.com/plussize/products/4857825252?NaPm=ct%3Dkb3l5oew%7Cci%3D7b8e3c5491c01120e2c794de9942316ec304dc10%7Ctr%3Dslsl%7Csn%3D280271%7Chk%3D2df71efff8beff6f74708867d985fc11758f7493,bigsize,blue
4,MXE398722미시옷 6290L004 래쉬 훌 치마 레깅스 MN 빅사이즈 여성의류,26590,https://shopping-phinf.pstatic.net/main_2305618/23056181639.jpg,피어나G,http://pieonag.mallmoa.co.kr/shop/view.php?index_no=1002740694&NaPm=ct%3Dkb3l7vw0%7Cci%3Dda8510ef959e67e0d967bdcb271bef925e176cf7%7Ctr%3Dslsl%7Csn%3D1243010%7Chk%3D1f8e3df6edca2bf7609cccaa08c8263cdcbe4683,bigsize,blue
5,W3BF31D-B 썸머라인7부레깅스 GO5355M905 빅사이즈,16130,https://shopping-phinf.pstatic.net/main_2305600/23056000907.jpg,바로마트,http://baromart.co.kr/detail.php?pt_idx=4999444&NaPm=ct%3Dkb3l8f6g%7Cci%3D8b2ef23a0f13fb422d90bca620248885c907a774%7Ctr%3Dslsl%7Csn%3D947756%7Chk%3D398aac3100fad8f5dd518cc640de150b2c01c0f1,bigsize,blue
6,YAVO SOSO Women 레깅스 Summer style Modal fertilizer Plus size Big Size candy color 11 colors women,8250,https://shopping-phinf.pstatic.net/main_1356874/13568745295.20180215142738.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=13568745295&query=%25EB%25B9%2585%25EC%2582%25AC%25EC%259D%25B4%25EC%25A6%2588%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l62aw%7Cci%3Dadc423b8b2f0382ea0bb2964928b9af4a38efd16%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D47a00cdf3545f2815fa4b53f526281e7f190b7ff,bigsize,blue
7,임산부 레깅스 봄 & 가을 바지 모달 바지 출산 착용 레깅스 13 색 빅 사이즈,26160,https://shopping-phinf.pstatic.net/main_2059066/20590667635.1.jpg,프리쉽,https://baby.freeship.co.kr/goods/content.asp?guid=437650&freeship_ep=naver_ep&NaPm=ct%3Dkb3l6enc%7Cci%3Dd5b37400b76de8be321db844f8fa00dad093aeec%7Ctr%3Dslsl%7Csn%3D405974%7Chk%3D0ce7d7eff89d074af009fef1e17407e5b26ace24,bigsize,blue
8,빅사이즈 여름 쿨 레깅스 팬츠 x 5 colors 냉감 하이스판,10900,https://shopping-phinf.pstatic.net/main_8241667/82416670392.jpg,이제이빅,https://smartstore.naver.com/youbeyou/products/4872146932?NaPm=ct%3Dkb3l73c8%7Cci%3D176839975191ea158de6d061f92f933f4670b61e%7Ctr%3Dslsl%7Csn%3D570658%7Chk%3D5c089a5dac99e747d4040204491bb3937da55937,bigsize,blue
9,Yavo soso 여성 레깅스 여름 스타일 모달 비료 플러스 사이즈 7xl 빅 사이즈 캔디 컬러 11 색 여성 바지올프라이스ch,13240,https://shopping-phinf.pstatic.net/main_1936302/19363022397.jpg,유닛808,https://search.shopping.naver.com/detail/lite.nhn?nvMid=13568745295&query=%25EB%25B9%2585%25EC%2582%25AC%25EC%259D%25B4%25EC%25A6%2588%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l9me0%7Cci%3Db286ddac7b985c340bb58358b9bc41b29bd18d8a%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db3d62b27a9a80a6354ee5de65e236d14e4038a1a,bigsize,blue
10,여자 요가 트레이닝 레깅스 빅사이즈 YG311137,22700,https://shopping-phinf.pstatic.net/main_8239499/82394998854.jpg,직구앤 싸다구,https://smartstore.naver.com/jssadagu/products/4850475618?NaPm=ct%3Dkb3l6qzs%7Cci%3D08abdc1046e7b6cc2fa99b2220f15d62acd79b80%7Ctr%3Dslsl%7Csn%3D1093270%7Chk%3D32229c060183a4fd701c0c3d8a0ccba9e96c3241,bigsize,blue
