id,title,price,img_src,provider,link,feature,color
1,빅사이즈 자체제작 포포 레깅스,8900,https://shopping-phinf.pstatic.net/main_2212646/22126462806.1.jpg,레이디플러스,http://www.ladyplus.co.kr/shop/shopdetail.html?branduid=675077&ref=naver_open&n_media=11068&n_query=%EB%B9%85%EC%82%AC%EC%9D%B4%EC%A6%88%EB%A0%88%EA%B9%85%EC%8A%A4&n_rank=1&n_ad_group=grp-a001-02-000000014627802&n_ad=nad-a001-02-000000088766916&n_campaign_type=2&n_mall_pid=675077&NaPm=ct%3Dkb3lb89c%7Cci%3D0A80001ovHHsR56RvLog%7Ctr%3Dpla%7Chk%3Dca0dacfe982d47132d1ffcab6a63c8e7c8a15b1b,bigsize,gray
2,여성 빅사이즈 면 스판 레깅스 (F-3XL컬러),16900,https://shopping-phinf.pstatic.net/main_8220724/82207241516.jpg,핑크팔레트,https://smartstore.naver.com/pinkpalette/products/4662720966?NaPm=ct%3Dkb3lbf7c%7Cci%3D0yS0001xvHHsqDVnivjs%7Ctr%3Dpla%7Chk%3Dcfab39babc2c33139b4a08451c45e49befce2dcf,bigsize,gray
3,5부레깅스 여름레깅스 여자 빅사이즈 레깅스 쫄바지 77 88 면스판 기본,4700,https://shopping-phinf.pstatic.net/main_9834712/9834712320.1.jpg,올리브아웃도어,https://smartstore.naver.com/oliveoutdoor/products/406011804?NaPm=ct%3Dkb3lbm5c%7Cci%3D9f7fcb2c91b4f080c5a3739ef8917171bb4b5150%7Ctr%3Dslsl%7Csn%3D169396%7Chk%3D8ed95055f31d2e3375d073802dd68580f7ba51fd,bigsize,gray
4,[수니베] [당일출고]엄청편해레이온레깅스 55-110 빅사이즈 봄/여름/가을,9900,https://shopping-phinf.pstatic.net/main_1853743/18537434060.1.jpg,쿠팡,https://www.coupang.com/vp/products/201721803?itemId=588579053&vendorItemId=4541281422&src=1032001&spec=10305201&addtag=400&ctag=201721803&lptag=P201721803&itime=20200606210511&pageType=PRODUCT&pageValue=201721803&wPcid=15839186539179380259152&wRef=cr.shopping.naver.com&wTime=20200606210511&redirect=landing&isAddedCart=,bigsize,gray
5,[퍼스트클로] 빅사이즈 레깅스 엣지 앵클 단가라 레깅스 쫄바지 코튼 면스판,7110,https://shopping-phinf.pstatic.net/main_2301629/23016291829.jpg,위메프,https://front.wemakeprice.com/product/122728079?utm_source=naver_ep&utm_medium=PRICE_af&utm_campaign=null&NaPm=ct%3Dkb3lc67k%7Cci%3D9c802f928db63e16beb91b1fd0d1cd0e7be55aff%7Ctr%3Dslsl%7Csn%3D197023%7Chk%3Db24ea6c16b33e5113f65869a5759fcae9da462ea,bigsize,gray
6,여성 면 밴딩 빅사이즈 레깅스  55~110,9900,https://shopping-phinf.pstatic.net/main_2209754/22097541343.jpg,달콤라라,http://dalcomlala.com/product/detail.html?product_no=1110&cate_no=61&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open&NaPm=ct%3Dkb3lcg8o%7Cci%3D6ca4bb2668eb0a475dbd4ab6dd86091cad370525%7Ctr%3Dslsl%7Csn%3D152842%7Chk%3Dbd8007752b2a1e78f9efc34ebb93b91ad25370e8,bigsize,gray
7,여름 7부 스판 레깅스 (55-110 빅사이즈),7000,https://shopping-phinf.pstatic.net/main_8199890/81998907328.5.jpg,러블리한,https://smartstore.naver.com/lovely-han/products/4454384620?NaPm=ct%3Dkb3lcvo8%7Cci%3D3110d0a2bf06a1ec5ec4abf886be1efbec0d67f5%7Ctr%3Dslsl%7Csn%3D797700%7Chk%3D125bb5436ab84d3744df57ad861cb962b9a0c83d,bigsize,gray
8,봄여름 얇은 레터링 빅 사이즈 레깅스 여외 순면 마 9부 트레이닝 스키니 8부 바지,24300,https://shopping-phinf.pstatic.net/main_2245546/22455462646.20200411162431.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22455462646&query=%25EB%25B9%2585%25EC%2582%25AC%25EC%259D%25B4%25EC%25A6%2588%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3ldng8%7Cci%3Dad1a0993d785b13f7013091cdb09aad55d0d3a56%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D05bcac17302cc29210990f3597e8f4df1210bcc9,bigsize,gray
9,피치기모 겨울 빅사이즈 레깅스 size 55-99,13500,https://shopping-phinf.pstatic.net/main_8122689/81226896416.jpg,고져스레이디,https://smartstore.naver.com/golady/products/3682378719?NaPm=ct%3Dkb3le5yw%7Cci%3D2f48dc315c030f998ee4ad371555c05cc0a0be4c%7Ctr%3Dslsl%7Csn%3D525343%7Chk%3D1fa13f7121b95edf296c03d4e71ea2bb3f1284bc,bigsize,gray
10,센스빅 봄 빅사이즈 치마 레깅스 롱치마 치랭스-021,5900,https://shopping-phinf.pstatic.net/main_2284786/22847868414.jpg,인터파크,http://shopping.interpark.com/product/productInfo.do?prdNo=6452385212&optNo=7197111721&dispNo=016001&bizCd=P01397&NaPm=ct%3Dkb3lfht4%7Cci%3D6f223ed2e75cfbec432455c7700a455f2c25cf20%7Ctr%3Dslsl%7Csn%3D3%7Chk%3Dd9aeb7faeac584944138537ab3bad91c2d453c2b&utm_medium=affiliate&utm_source=naver&utm_campaign=shop_p11714_p01397&utm_content=price_comparison,bigsize,gray
