id,title,price,img_src,provider,link,feature,color
24,요가레깅스 빅 사이즈 트레이닝 바지 여자 스판 슬림 러닝 트레이닝,24800,https://shopping-phinf.pstatic.net/main_2242211/22422116845.20200408161245.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22422116845&query=%25EB%25B9%2585%25EC%2582%25AC%25EC%259D%25B4%25EC%25A6%2588%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3n6twg%7Cci%3D2d0d78397c3c178e8b83e55447e9bea0d915264c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D03675b584a188efc80218cfdd702af0dc5a619f4,bigsize,red
25,여성빅사이즈레깅스 2018 여름 플러스 사이즈 안전 바지 쫓는 뚱뚱한 남자 여성 세 점 레,20910,https://shopping-phinf.pstatic.net/main_8243559/82435598331.jpg,2프로네,https://smartstore.naver.com/2prone/products/4891074797?NaPm=ct%3Dkb3n768w%7Cci%3D8c908286672b5945ec538e976465f235c7f1adfe%7Ctr%3Dslsl%7Csn%3D1205420%7Chk%3Da3d29d9496b4a93114a64a49df6078f6dc843896,bigsize,red
26,1+1 숙녀타이즈 면니트 보온성강한 빅사이즈 절개하의 스타킹,26050,https://shopping-phinf.pstatic.net/main_2215596/22155960687.1.jpg,GSSHOP,http://with.gsshop.com/prd/prd.gs?prdid=56873715&vodFlag=N&utm_source=price&utm_medium=affiliate&utm_campaign=naver,bigsize,red
27,빅사이즈XXL까지 준앤윈터 8부 요가레깅스 (3color),11800,https://shopping-phinf.pstatic.net/main_8018841/80188418748.jpg,코코슬림,https://smartstore.naver.com/kokoslim/products/2690675001?NaPm=ct%3Dkb3n7n80%7Cci%3D49bd4e89c5d1bbb91a1846fbe0225d840453f049%7Ctr%3Dslsl%7Csn%3D683850%7Chk%3D161418f048bef2877b82b698921c052e81da6b35,bigsize,red
28,Rosegal 당겨 꽃 무늬 플러스 사이즈 jeggings 여성 탄성 중반 허리 레깅스 빅 사이즈 스키니 푸시 업 legins 여성 5xl,47100,https://shopping-phinf.pstatic.net/main_2150986/21509865623.1.jpg,프리쉽,https://fashion.freeship.co.kr/goods/content.asp?guid=6335245&freeship_ep=naver_ep&NaPm=ct%3Dkb3n7vpk%7Cci%3D51dfcd7f745b595e70a20d827d3409c1768b8ffc%7Ctr%3Dslsl%7Csn%3D405974%7Chk%3D2b5e3de8f8f30c10e5b10f27fb26bb8110e08b99,bigsize,red
29,기모레깅스 밍크레깅스 기모바지 여자 겉은 빅사이즈에 두꺼운 기모 GOT-000087749,44800,https://shopping-phinf.pstatic.net/main_8161674/81616745611.2.jpg,G.O.T,https://smartstore.naver.com/gotkein/products/4072225001?NaPm=ct%3Dkb3n83fc%7Cci%3Dfaeab065e4d5b2dc89a2e4cec58fa15590718c4a%7Ctr%3Dslsl%7Csn%3D792686%7Chk%3De32ebb724b46e657809c8c155dfd5efb9fc802fa,bigsize,red
30,UV차단 레깅스 55-100 빅사이즈 자외선차단 발목레깅스,9800,https://shopping-phinf.pstatic.net/main_8245820/82458205202.jpg,플러스사이즈,https://smartstore.naver.com/plussize/products/4913681508?NaPm=ct%3Dkb3n89lk%7Cci%3Dc9de51b00b9eb9fc8e8b25facab1554a9a304c26%7Ctr%3Dslsl%7Csn%3D280271%7Chk%3D1f158427eed72b24f16975dd5ca6414bc05d2897,bigsize,red
31,빅 사이즈 트레이닝 바지 여성 스판 속건 뚱뚱 mm 러닝 트레이닝 레깅스 하이웨스트 힙업 요가 팬츠,37800,https://shopping-phinf.pstatic.net/main_8242737/82427377718.jpg,RIOVIDA,https://smartstore.naver.com/4orgetmenot/products/4882854247?NaPm=ct%3Dkb3n8jmo%7Cci%3De35de5f8b85b6e3dd17274e7b7678dc69e9415bc%7Ctr%3Dslsl%7Csn%3D1204301%7Chk%3D99ba8026eb4150a9d507c066663506c5eddf673d,bigsize,red
32,아웃사이즈 OA7988 빅사이즈 스포츠 바디선 레깅스,18800,https://shopping-phinf.pstatic.net/main_2041975/20419756930.jpg,쿠팡,https://www.coupang.com/vp/products/268674775?itemId=843314130&vendorItemId=5145813339&src=1032001&spec=10305201&addtag=400&ctag=268674775&lptag=P268674775&itime=20200606215912&pageType=PRODUCT&pageValue=268674775&wPcid=15839186539179380259152&wRef=cr.shopping.naver.com&wTime=20200606215912&redirect=landing&isAddedCart=,bigsize,red
33,누리유통 / 빅사이즈 002 쫀쫀 사계절 스타킹 DDT7141 여성의류 여자청바지쇼핑몰 청바지 / 46989,16500,https://shopping-phinf.pstatic.net/main_2305711/23057111873.jpg,위메프,https://front.wemakeprice.com/product/1113849845?utm_source=naver_ep&utm_medium=PRICE_af&utm_campaign=null&NaPm=ct%3Dkb3n9mzc%7Cci%3Df3c38937cbb54a71d24874013e70a885b94634dd%7Ctr%3Dslsl%7Csn%3D197023%7Chk%3D87bc600b069b19ecc516a5e763e6b0567a7add3a,bigsize,red
