id,title,price,img_src,provider,link,feature,color
44,여자운동 키작녀 힙업 압박 하이웨스트 레깅스 여성쫄바지,9550,https://shopping-phinf.pstatic.net/main_8233641/82336412763.jpg,물건창고,https://smartstore.naver.com/orangetee/products/4791890266?n_media=11068&n_query=%ED%9E%99%EC%97%85%EB%A0%88%EA%B9%85%EC%8A%A4&n_rank=2&n_ad_group=grp-a001-02-000000012574068&n_ad=nad-a001-02-000000083402982&n_campaign_type=2&n_mall_pid=4791890266&NaPm=ct%3Dkb3mty60%7Cci%3D0za0001hybHswkYd%2Df17%7Ctr%3Dpla%7Chk%3D1d1ca795aca6e52ca935bbd66969a2daaa8e1b00,hipup,black
45,비나앤코3부 힙업레깅스 S M L,35970,https://shopping-phinf.pstatic.net/main_2282676/22826760533.20200511215939.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22826760533&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mvg6g%7Cci%3Dc2d9f61fb634f68cd4ea694c52c9d44d2f07b72d%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dc39f741191f3397542614e77e666421d1ec1e28b,hipup,black
46,비나앤코6부 힙업레깅스 S M L,36611,https://shopping-phinf.pstatic.net/main_2283131/22831317456.20200512025313.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22831317456&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mw5n4%7Cci%3D96386bc829dd90324d71f8200b91e408a4895bea%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D600ff5263408aa11773fdc713d56cfd0065becc2,hipup,black
47,허니키니 샤이닝 힙업 레깅스 8부,34310,https://shopping-phinf.pstatic.net/main_2138821/21388210145.20191126153152.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=21388210145&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mwkaw%7Cci%3D5a06b7bb5b583402465f43a1235977e5c0e21438%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D468748c7e2cac59bfffe1a4bec0f310e9f64f1de,hipup,black
48,Magics 매직스 복부집중 힙업 보정레깅스 쫄바지,7900,https://shopping-phinf.pstatic.net/main_2287332/22873325324.20200516025806.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22873325324&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mx2tk%7Cci%3D99421a0c93a9e0446e284dea3bd4daeeb8fb0805%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D0cbdedb69f96597f5c57eea2cb8c36b40a2b8e98,hipup,black
49,여성요가복 몸매보정 힙업레깅스- A000018046,29400,https://shopping-phinf.pstatic.net/main_2279271/22792710434.20200508155827.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22792710434&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mxkkg%7Cci%3D863e463b3f3a19296fbed0dde2d8aa3d1f04a409%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D51dd69540dd4e5f644c80691d5e2b11bdafd64b7,hipup,black
50,집합몰 해외배송 여성 여름 힙업 레깅스 바지 25187610,36300,https://shopping-phinf.pstatic.net/main_2242230/22422305893.20200408163204.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22422305893&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mypgo%7Cci%3D7b9114d936ad6469b2c0ba05b0df9619c40fb159%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dc16bd8c73d5a12409d218a215105c9e53e5042bc,hipup,black
51,집합몰 해외배송 여성 여름 제깅스 힙업 레깅스 바지 25195502,40600,https://shopping-phinf.pstatic.net/main_2244896/22448967755.20200410172406.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22448967755&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mya14%7Cci%3Dbf81407dbee806afceb994e7e961fdf463af39f1%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D34d773d3d6e5a1e98030e2f8080d1b2071804971,hipup,black
52,집합몰 해외배송 여성 여름 스트레치 힙업 레깅스 바지 25194762,37800,https://shopping-phinf.pstatic.net/main_2246022/22460222631.20200412153742.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22460222631&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mzaao%7Cci%3Dccb0e5a714f50a4857fc538b300a54ff55dbe27f%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dce12e4ce831130763248d549d65a1f3cbb3128c5,hipup,black
53,집합몰 해외배송 여성 여름 힙업 레깅스 바지 23280037,36300,https://shopping-phinf.pstatic.net/main_2243498/22434983462.20200409150258.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22434983462&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mzs1k%7Cci%3Df51ecef627b3fe13d93da412f62419a6b02c6065%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20ba71ec18967a59f8ca65bd9dba48907def652f,hipup,black
