id,title,price,img_src,provider,link,feature,color
1,사이드매쉬포켓 힙업 레깅스 T1901,22000,https://shopping-phinf.pstatic.net/main_2194544/21945448520.jpg,이츠데이,https://itsuday.com/product/detail.html?product_no=147&cate_no=42&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open&NaPm=ct%3Dkb3lr6c0%7Cci%3D09d67d48e214f6a6e1e0429a7c301d93a9f5d69a%7Ctr%3Dslsl%7Csn%3D1128446%7Chk%3D7ec751998fd9460a38f60421f77fb3bebfdfd921,hipup,blue
2,레깅스 배조이는 헬스바지 여자하이웨이스트 힙업 세트포장,36540,https://shopping-phinf.pstatic.net/main_2304332/23043323636.jpg,인터파크,http://shopping.interpark.com/product/productInfo.do?prdNo=7242743426&dispNo=016001&bizCd=P01397&NaPm=ct%3Dkb3lrvso%7Cci%3D8bc5c66b1737a061b4d8e27c43864e01710cb4e8%7Ctr%3Dslsl%7Csn%3D3%7Chk%3Def89a8d1fb4c2db2d6d30213541e3605f7e59e11&utm_medium=affiliate&utm_source=naver&utm_campaign=shop_p11714_p01397&utm_content=price_comparison,hipup,blue
3,힙업 커버업 요가 필라테스 레깅스 운동레깅스 셔링레깅스 8부 9부 7부 미국유럽왕,37560,https://shopping-phinf.pstatic.net/main_2286991/22869914684.jpg,11번가,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=2859046585&NaPm=ct=kb3lsgmo|ci=9401a85e71702b1a2be527a7dd3d13bbaa12cb98|tr=slsl|sn=17703|hk=564ad95e6abcef3b2e9edffe865efa2854ac4886&utm_term=&utm_campaign=%B3%D7%C0%CC%B9%F6pc_%B0%A1%B0%DD%BA%F1%B1%B3%B1%E2%BA%BB&utm_source=%B3%D7%C0%CC%B9%F6_PC_PCS&utm_medium=%B0%A1%B0%DD%BA%F1%B1%B3,hipup,blue
4,힙업 커버업 요가 필라테스 레깅스 운동레깅스 셔링레깅스 8부 9부 7부 훤이 형,47900,https://shopping-phinf.pstatic.net/main_2287880/22878801525.20200516164830.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22878801525&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3ltdt4%7Cci%3D8058e4773bc72380def8554136cda8018f3474e9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D7ca81a69c9dc07f2586e1316a9f3834917065b02,hipup,blue
5,레깅스 힙업 헬스바지 여성가을용 얇은타입 탄력 타이트 하이웨스트 헬스장 운동 러닝,19400,https://shopping-phinf.pstatic.net/main_2287861/22878619347.20200516163029.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22878619347&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3lu39s%7Cci%3D68312ae39c927f024fcf5f9b099136dd24bbe74c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D1a0d4785131014119da056621c0df28a21a63136,hipup,blue
6,레깅스 유럽미국 ins복숭아 힙업 헬스바지 여자패션,24790,https://shopping-phinf.pstatic.net/main_2283152/22831523206.20200512034639.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22831523206&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3luhxk%7Cci%3D6e4637f0275672c76b03881bd47ffc6ee68695b7%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D118c4fd70bbdac80b1f8c6b3f1439284b7aa8ae1,hipup,blue
7,힙업 여자 레깅스 퀵건조 우먼스 타이츠 J5,22610,https://shopping-phinf.pstatic.net/main_2244882/22448827448.20200410170932.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22448827448&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3luwlc%7Cci%3D1c1fe2fd16114af2aad688ac2ae4f7df7f5c0e02%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D6f3c03db21a7c9e221c710a1e8bc0527163bcde5,hipup,blue
8,요가레깅스 피치 피트니스 팬츠 하이웨스트 힙업 타이트,22600,https://shopping-phinf.pstatic.net/main_2242196/22421964762.20200408154611.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22421964762&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3lv860%7Cci%3D387fb89e1964fff8018c2f76205dffd3f8837168%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D050176e0eda559ace6dc7bb2d0df8482f2e102c7,hipup,blue
9,집합몰 해외배송 여성 여름 힙업 캐주얼 레깅스 바지 25195817,46800,https://shopping-phinf.pstatic.net/main_2244894/22448947578.20200410171737.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22448947578&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3lvmts%7Cci%3Df5ef0b6bfd7465dbd18d91656adede826e89649a%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D5c8b27f5a1813bc2b81cc12de162b83d665ade36,hipup,blue
10,팬티스 템플 힙업 메쉬레깅스 여자 PT바지 A1,17630,https://shopping-phinf.pstatic.net/main_1947248/19472485828.20190525145130.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=19472485828&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3lw648%7Cci%3D68bdba3b5b4a1ee86bbd72890d336094edb01236%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D343df1501c2d17180a9c4b894398834c90934b23,hipup,blue
