id,title,price,img_src,provider,link,feature,color
64,여자 헬스 스포츠 힙업 운동 레깅스,26900,https://shopping-phinf.pstatic.net/main_8237728/82377282017.2.jpg,엘레바,https://smartstore.naver.com/eleva/products/4832759065?NaPm=ct%3Dkb3m0oxc%7Cci%3D0z40003YwHHsFJMsWLk8%7Ctr%3Dpla%7Chk%3D5f98c29136edd94d8b497e0fc23c8f5c0317c234,hipup,gray
65,키작녀레깅스 주머니 헬스장 자전거 등산용 키작은여자 단색 힙업 레깅스,23900,https://shopping-phinf.pstatic.net/main_8225127/82251277871.jpg,알럽스토리,https://smartstore.naver.com/rlovestory/products/4706756849?NaPm=ct%3Dkb3m119s%7Cci%3D0Ae0000cwXHsNSWHIvky%7Ctr%3Dpla%7Chk%3D88e512a7286d0f59772be50020556abb06673054,hipup,gray
66,하이웨스트 면 레이온 모달 슬라브 힙업 텐션 스판 레깅스,14900,https://shopping-phinf.pstatic.net/main_8246709/82467096026.jpg,쏘쭌,https://smartstore.naver.com/ssojjun/products/4922572112?NaPm=ct%3Dkb3m1jsg%7Cci%3D0yO0000AwXHsSk%5FRwfoa%7Ctr%3Dpla%7Chk%3D927a6dc55e7fc94b8d6eb88c59a0d0276caef909,hipup,gray
67,레터링 레깅스 러닝용 피트니스 속건조 힙업 레깅스,30260,https://shopping-phinf.pstatic.net/main_2287227/22872277671.20200516005923.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22872277671&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m5tc8%7Cci%3D53ddf0c352d82ed51deb3702f745cca7a49e0524%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D496f74cfbdf9b198813729c30038e8cb32713d60,hipup,gray
68,반 반뽕 힙업 레깅스 여자레깅스,24900,https://shopping-phinf.pstatic.net/main_2085133/20851330805.20190910144257.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=20851330805&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m22b4%7Cci%3Dd38012284972e46962a0e989a9dd8a81ba301b2c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D60ec92a2ed431141cd91c23de9eab70da14c3ca3,hipup,gray
69,피트니스 요각복 스포츠 스판 속건 힙업 레깅스,19370,https://shopping-phinf.pstatic.net/main_2226819/22268192694.20200323151206.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22268192694&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m6b34%7Cci%3D18b5686eddbc83d5c6e56a25bc3e881c82fbe497%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D0e52be5443176515d103dddd7fed1f4c797eb93f,hipup,gray
70,힙업강조 트레이닝 땡땡이 시선집중 하이웨스트 레깅,41770,https://shopping-phinf.pstatic.net/main_2282591/22825910211.jpg,옥션,http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B848465089&frm3=V2,hipup,gray
71,레깅스 힙업 헬스바지 여성봄 얇은타입 하이웨스트,17110,https://shopping-phinf.pstatic.net/main_2288316/22883161439.20200517145520.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22883161439&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m42u8%7Cci%3D25fc7aca4614cd6129a4966038392d4f67312de9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D11f1b386ff71dc01da0cd608ec70219aae4cc851,hipup,gray
72,레깅스 힙업 헬스바지 여성스판 타이트 러닝 반바지,21280,https://shopping-phinf.pstatic.net/main_2287011/22870115947.20200515204842.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22870115947&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m4mwg%7Cci%3D21155808ca21f2fba62dfaf39c1911fd78483078%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D0a27d0e521152fc2eff4c1d34209b9e5807a2851,hipup,gray
73,레깅스 복숭아 힙업 주름무늬 국화 요가바지 여자하이웨이스트 탄력 타이트 헬스 운동,23200,https://shopping-phinf.pstatic.net/main_2286725/22867259483.20200515153136.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22867259483&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3m58i8%7Cci%3D655a2a54206028c42a9972996f7494e00d56a513%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D1e53639899f9c05b189472ce21fcf20016e6d61c,hipup,gray
