id,title,price,img_src,provider,link,feature,color
74,골반 힙업 Y존 다이어트 힙커버업 레깅스 필라테스 요가 이마나,46500,https://shopping-phinf.pstatic.net/main_8232261/82322616351.2.jpg,바시아 VACIAR,https://smartstore.naver.com/vaciar/products/4778094099?NaPm=ct%3Dkb3mb7s8%7Cci%3D0yS0003DxbHsyZEWduX8%7Ctr%3Dpla%7Chk%3D459f214ed52214fe5d2b24be0e1695e69c882b52,hipup,red
75,집합몰 해외배송 여성 패턴 피트니스 힙업 레깅스 23126770,34100,https://shopping-phinf.pstatic.net/main_2220711/22207112083.20200316141935.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22207112083&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mbr2o%7Cci%3D4a5304366d2a944503b4d23f761599bcce0a6419%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20793f638a6a95b03a878e24c90d86afd1b69c36,hipup,red
76,여성 하이웨스트 피트니스 힙업 레깅스,19890,https://shopping-phinf.pstatic.net/main_2144595/21445953544.20191204180611.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=21445953544&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mcke8%7Cci%3Da5534560ee3912488007bfa379694bb208d6db30%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D6584727e615775898daa63906d7b0fe884248f11,hipup,red
77,스키니 트레이닝 탄력 속건 힙업 레깅스,20160,https://shopping-phinf.pstatic.net/main_1918662/19186625317.jpg,토토만,http://totomann.co.kr/goods/goods_view.php?goodsNo=1000123728&inflow=naver&NaPm=ct%3Dkb3md2ww%7Cci%3D05c27f8a6036975766a5725b9077c2c6d486205a%7Ctr%3Dslsl%7Csn%3D462005%7Chk%3D63d265d7b9d8e15f66598fa0c526f8db1c5ba697,hipup,red
78,하이웨스트 트레이닝전문 요가바지 힙라인 힙업레깅스,30020,https://shopping-phinf.pstatic.net/main_8246957/82469575328.jpg,제이나인글로벌,https://smartstore.naver.com/kjnine/products/4925051414?NaPm=ct%3Dkb3mizvk%7Cci%3D789532a981e9175afe0783a8588222e6d89d8c94%7Ctr%3Dslsl%7Csn%3D1105724%7Chk%3Da9c1b18d5c3609b495d7d2ad887c625726d04493,hipup,red
79,레깅스 복숭아 힙업 헬스바지 여타이트 탄력 빠른건,21700,https://shopping-phinf.pstatic.net/main_2269843/22698431355.jpg,옥션,http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B843526252&frm3=V2,hipup,red
80,하이웨스트 힙업포켓 레깅스 CK1220,21000,https://shopping-phinf.pstatic.net/main_2186217/21862178698.1.jpg,이츠데이,https://itsuday.com/product/detail.html?product_no=95&cate_no=42&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open&NaPm=ct%3Dkb3mk0ww%7Cci%3Dfc1909190370bfa36f99a2290e84e62229538a07%7Ctr%3Dslsl%7Csn%3D1128446%7Chk%3De643fdbfb168c9fb9c3220234e08e46c86dae154,hipup,red
81,레깅스 복숭아 힙업 헬스바지 여성스판 타이트 아우터 트레이닝바지 헬스 하이웨스트 노라인,45500,https://shopping-phinf.pstatic.net/main_2299364/22993645499.20200529153929.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22993645499&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mlgm0%7Cci%3D0498489443089b8f7b3d9b2ad22a261c4d781a65%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D68ad826d31576f1788d3b83df1f2762de7911261,hipup,red
82,힙업 커버업 요가 필라테스 레깅스 운동레깅스 셔링레깅스 8부 9부 7부 여성,25280,https://shopping-phinf.pstatic.net/main_2287916/22879168353.20200516181232.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22879168353&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mmdsg%7Cci%3D946f65bb4590c6e951849685bb784551e312ecf5%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D4717200cea69e46e024e9874eaca776797d19ac3,hipup,red
83,레깅스 파랑새 여름얇은스타일 헬스 여성스포츠 힙업 아우터 빠른건조 셀럽 하이웨스트 탄력,42700,https://shopping-phinf.pstatic.net/main_2286095/22860958484.20200514202147.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22860958484&query=%25ED%259E%2599%25EC%2597%2585%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3mmwb4%7Cci%3D6a55b0c8b77ef3a07aa6809c30356db703d19c97%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D2cc3304533064ef9397af6ab6cbc9daa61f4648d,hipup,red
