id,title,price,img_src,provider,link,feature,color
112,[1+1] 키작녀 키작은여자 노컷 레깅스,58000,https://shopping-phinf.pstatic.net/main_2081862/20818621550.1.jpg,뮬라웨어,http://www.mulawear.com/shop/shopdetail.html?branduid=496757&ref=naver_open&n_media=11068&n_query=%EB%A0%88%EA%B9%85%EC%8A%A4&n_rank=1&n_ad_group=grp-a001-02-000000014926029&n_ad=nad-a001-02-000000090775819&n_campaign_type=2&n_mall_pid=496757&NaPm=ct%3Dkb3l3ark%7Cci%3D0za0003CvbHsxEIRB12A%7Ctr%3Dpla%7Chk%3Db1351910a2b096f9440791ba27b69da7f11b3d25,shortheight,black
113,여자운동 키작녀 힙업 압박 하이웨스트 레깅스 여성쫄바지,9550,https://shopping-phinf.pstatic.net/main_8233641/82336412763.jpg,물건창고,https://smartstore.naver.com/orangetee/products/4791890266?n_media=11068&n_query=%EB%A0%88%EA%B9%85%EC%8A%A4&n_rank=3&n_ad_group=grp-a001-02-000000012574068&n_ad=nad-a001-02-000000083402982&n_campaign_type=2&n_mall_pid=4791890266&NaPm=ct%3Dkb3l4bsw%7Cci%3D0zO0000mvrHsbAuImeXn%7Ctr%3Dpla%7Chk%3D826528a0675f039c1f347bd78c9e5927569bbaba,shortheight,black
114,키큰여자레깅스 키작녀 기모 9부 고리 유발,2180,https://shopping-phinf.pstatic.net/main_8227673/82276731692.3.jpg,진리바미샾,https://smartstore.naver.com/jinribamishop/products/4732210228?NaPm=ct%3Dkb3l4r8g%7Cci%3D0yu0000GvrHs2Q4wk1nu%7Ctr%3Dpla%7Chk%3D14a019a690cb399877627fd21b2a76245291e49a,shortheight,black
115,(제작상품 / 키작녀) 피치기모레깅스 / 스판 9부 기모쫄바지 면레깅스 8color,10800,https://shopping-phinf.pstatic.net/main_8114999/81149995551.jpg,베이즐넛,https://smartstore.naver.com/beizelnut/products/3605478200?NaPm=ct%3Dkb3ldo80%7Cci%3D1b6218092745289b00cb858ea4e0d8c0d3702236%7Ctr%3Dslsl%7Csn%3D492751%7Chk%3D313564e0188824392582ef1a98895e91fa6b570c,shortheight,black
116,하이제시카 배색 착붙 레깅스 키작녀레깅스,11509,https://shopping-phinf.pstatic.net/main_2256859/22568594513.20200421160009.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22568594513&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3le9ts%7Cci%3D5e602ba7293d274777f4f3d9104a01dae85a659c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dfe5b3d8ec0e2386985e4ee8d43ee3ab1d33bdccb,shortheight,black
117,아이 벨벳 라인 키작녀 레깅스,10710,https://shopping-phinf.pstatic.net/main_2142048/21420480105.20191130172327.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=21420480105&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3lb7hk%7Cci%3D53993d62c6fe8f33a54812a7292dbe8d47809feb%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dd0d2cafde854d4a32f6625f57d4662fcd2bcabdf,shortheight,black
118,키작녀 하이웨이스트 스판 레깅스 바지,7930,https://shopping-phinf.pstatic.net/main_2248495/22484950182.20200414153840.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22484950182&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l5ri0%7Cci%3Dab7158473df2637b45d0bfbbed61a28ceb546f9c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D1362aa3d504dc92f3fe0fb295b24f55a01a387e3,shortheight,black
119,키작녀 다리길어보이는 운동 요가 필라테스 레깅스,11000,https://shopping-phinf.pstatic.net/main_2226193/22261931950.20200322153349.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22261931950&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l79ig%7Cci%3Da64a31e895dc566685c553d254b1830d37d35d90%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D08170d879ae50adf1708e44da084d9507ad39fc5,shortheight,black
120,제이와이플래닛 XL사이즈 키작녀바지 골반레깅스 센스있는 봄 스키니핏 레깅스,14900,https://shopping-phinf.pstatic.net/main_2249808/22498086348.20200415170715.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22498086348&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l8j1c%7Cci%3De5328a7dc4f2b131792b4dcd1950b0d9787c8ece%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D10e6ac5b6cd44d3d4d099638a4931c2077118d04,shortheight,black
121,키작녀 봄레깅스 9부 3컬러,13900,https://shopping-phinf.pstatic.net/main_2219595/22195959360.20200314155343.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22195959360&query=%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3l9sk8%7Cci%3D48eab8287b1d789bc353412ce7777f4d8958766a%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D3234a6680ff64b6f44ab9188f241595532be48e3,shortheight,black
